Species,R2_9_S33_profile,R2_8_S32_profile,R2_7_S31_profile,R2_6_S30_profile,R2_5_S29_profile,R2_4_S28_profile,R2_3_S27_profile,R2_2_S26_profile,R2_1_S25_profile,R2_18_S42_profile,R2_17_S41_profile,R2_16_S40_profile,R2_15_S39_profile,R2_14_S38_profile,R2_13_S37_profile,R2_12_S36_profile,R2_11_S35_profile,R2_10_S34_profile,R1_9_S9_profile,R1_8_S8_profile,R1_7_S7_profile,R1_6_S6_profile,R1_5_S5_profile,R1_4_S4_profile,R1_3_S3_profile,R1_2_S2_profile,R1_24_S24_profile,R1_23_S23_profile,R1_22_S22_profile,R1_21_S21_profile,R1_20_S20_profile,R1_1_S1_profile,R1_19_S19_profile,R1_18_S18_profile,R1_17_S17_profile,R1_16_S16_profile,R1_15_S15_profile,R1_14_S14_profile,R1_13_S13_profile,R1_12_S12_profile,R1_11_S11_profile,R1_10_S10_profile
Aerococcus_urinaeequi,6.98316,1.12614,7.95639,0,0.21414,0.06557,4.39172,0.83728,0.76832,0.61359,5.15296,20.65524,19.95582,16.01883,28.92564,10.58983,19.88571,10.76917,0.28726,0.22442,2.35097,0.42026,0.24135,0.1259,0,0.57572,0.06312,0.05475,0.52062,0.45391,2.20697,0.28128,0.55192,0.47272,7.05639,2.34657,2.12061,0.98887,0.08562,1.57771,1.80657,0.29583
Aerococcus_viridans,5.30523,0.65834,5.67502,0.28786,0.22439,0.02461,3.33218,0.7301,0.47624,1.23194,3.61583,20.79288,17.53906,15.12506,28.65458,9.14389,20.45131,10.04466,0.22786,0.24711,1.82512,0.44165,0.27175,0.12985,0,0.56863,0.05142,0.02982,0.38339,0.39653,1.97087,0.18472,0,0.1604,4.31793,1.65923,1.10256,0.67387,0.07972,1.31558,1.7136,0.12194
Lactobacillus_amylovorus,31.93595,12.47471,16.91319,11.31031,0.87913,1.08551,8.18498,16.1472,8.04046,1.86279,10.08438,1.19345,1.08892,7.15065,7.1678,4.30683,4.86983,7.59622,0.83073,1.40686,4.08248,6.95224,5.52156,1.05937,0.08395,11.97303,0.86941,0.459,12.42895,14.12974,29.29047,4.60263,2.11305,17.75127,9.41096,29.75247,23.2296,8.51118,2.1847,34.82176,33.15156,6.83523
Lactobacillus_crispatus,1.68674,0.20994,1.18741,0.01042,0.01087,0.00582,0.02368,0.13733,0.23392,0.1741,0.22079,0.00328,0,0.00402,0.09606,0.00135,0,0,0.00048,0.05873,0.00195,0,0.06842,0,0.34587,0.01546,0.00519,0.01198,0.07331,0.12791,0.23288,0.02484,0,0.06962,0,0.05632,0.1768,0.02751,0,0.17635,0.47522,0.0253
Lactobacillus_equicursoris,0.28913,0.14541,0.02939,0,0.00275,0,0.04785,0.0265,0.00195,0,0.07323,0.00044,0.02635,0.04172,0.2453,0.03748,0.06892,0.08815,0.00506,0,0.00459,0,0,0.00215,0,0.01568,0,0,0.0724,0.10982,0.31969,0.02715,0,0.10361,0.1512,0.23689,0.25262,0.0978,0.00721,0.35697,0.42403,0
Lactobacillus_johnsonii,0.18716,0.23989,0.98355,1.11564,0.04382,0.0821,0.33832,1.39299,0.6363,0.12357,1.27876,0.02908,0.06025,0.28501,0.68387,0.24618,0.05872,0.31386,0.01978,0.10396,0.21581,0.63921,0.51644,0.02502,0,0.83911,0.03926,0.03686,0.70568,0.86971,1.80927,0.39191,0,1.36244,0.26797,1.92247,1.83272,0.92368,0.01751,1.64104,2.48966,0.60168
Lactobacillus_reuteri,2.29983,0.49598,2.93344,1.21328,0.18292,0.15999,1.57507,2.31288,1.33735,0.99431,4.91127,0.2956,0.28697,2.02136,1.68198,1.05119,0.38951,3.1871,0.14209,0.26474,0.85942,1.62326,1.14719,0.10451,0,2.25735,0.10231,0.06953,1.38041,1.95754,4.26149,0.86905,0,2.62235,1.98034,4.14136,4.17759,1.06129,0.26251,4.51176,5.18027,2.12333
Lactobacillus_vaginalis,2.67216,0.94108,2.28163,0.07251,0.01784,0.01493,0.10787,0.24538,0.15808,0,0.12598,0.04349,0.00097,0.02871,0.10166,0.31687,0.01689,1.37155,0.00719,0.13059,0,0.26445,0.03842,0.0096,0,0.2263,0.01594,0.00697,0.19848,0.37005,1.09677,0.08413,0,0.19504,0.07421,0.64238,0.68816,0.14821,0.03513,0.97119,1.5814,0.15187
Streptococcus_suis,1.63872,1.31249,0.68569,0,0,0,0.04875,0.20527,0.07626,0,0.03741,0.0084,0.02713,0.02757,0.02557,1.35822,0.00359,1.50442,0.00075,0,0.00306,0,0.02739,0.00986,0,0.12684,0.01195,0.00208,0.07903,0.11645,0.45657,0.08732,0,0.09648,0.01638,0.3073,0.37912,0.09861,0.0118,0.30245,0.33094,0.01558
Butyricicoccus_porcorum,0.33635,0.04009,0.14287,0,0.03168,0.00104,0.40452,0.0694,0.02687,0.17891,1.56973,0.02615,0.02038,0.10774,0.28829,0.55177,0.16229,0.02505,0.01442,0.00232,0.03068,0,0,0,0,0.06172,0.00933,0,0.11252,0.23548,0.42607,0.06605,0,0.39134,1.14938,0.52531,0.73155,0.18165,0.0278,0.52323,0.87582,0
