Genes,R1_8,R2_2,R2_3,R2_17,R2_11,R2_4,R2_13,R2_16,R1_19,R1_10,R1_13,R2_1,R1_22,R1_4,R1_20,R2_9,R1_14,R2_6,R1_1,R2_14,R1_3,R2_8,R1_6,R1_17,R1_7,R1_5,R2_15,R2_5,R2_18,R1_24,R1_21,R1_16,R2_10,R1_2,R1_11,R2_7,R1_23,R1_12,R1_18,R2_12,R1_9,R1_15
gene:plasmid:157053,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:120951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:137754,0,0,162,0,0,0,0,0,0,0,0,209,34,0,94,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,68,0,0,0,0,0,85,0,0,0,0,0
gene:vir:101335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,1752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0
gene:proph:159041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
gene:proph:175646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
gene:proph:170202,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:117070,0,0,0,1038,0,0,0,0,0,0,0,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:vir:7196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:83040,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:proph:159063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0
gene:plasmid:91739,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
gene:vir:508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:152268,35,20,0,0,0,0,0,39,0,30,575,0,134,195,0,0,113,0,0,17,0,0,0,0,30,132,0,0,0,146,0,0,0,47,0,0,872,0,0,0,0,0
gene:plasmid:137765,95,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0
gene:plasmid:122398,0,0,0,0,0,0,16,17,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,15,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
gene:plasmid:19506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
gene:plasmid:115141,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:132173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
gene:vir:103588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
gene:plasmid:110246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
gene:plasmid:17368,13,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,7,0,0
gene:plasmid:15400,0,0,0,0,0,0,136,0,0,0,0,53,411,0,0,0,0,0,33,148,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,164,0,0,0,0,0,0
gene:vir:6074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:proph:167301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562,0,0,0,0
gene:vir:96179,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:proph:176456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0
gene:proph:182987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
gene:plasmid:119604,122,1072,522,428,7551,0,351,4706,0,0,104,3512,292,103,776,1742,431,0,134,686,0,16740,255,535,172,166,8341,387,1186,118,223,1090,525,126,650,379,274,582,103,6330,187,452
gene:plasmid:87553,0,51,37,0,34,0,0,0,0,0,0,36,0,0,75,379,0,0,0,0,0,2439,0,0,0,0,0,0,0,0,0,71,0,0,73,0,0,0,0,349,0,48
gene:plasmid:136720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,12,0,0,3509,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,39,0,0
gene:proph:162078,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:proph:177578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:proph:179474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:133384,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:133218,80,149,296,634,889,251,959,999,0,82,49,212,199,401,121,149,400,225,105,655,90,216,231,323,255,72,545,131,476,493,476,130,661,53,83,60,94,56,37,214,0,139
gene:plasmid:83730,0,119,204,0,0,57,0,0,0,100,0,160,184,0,173,0,122,0,44,0,0,0,0,98,0,0,0,107,0,0,81,127,0,54,38,0,0,88,0,0,60,47
gene:plasmid:83754,90,572,452,312,1307,91,646,2482,0,236,407,746,731,91,463,478,390,85,181,1128,314,398,282,449,274,189,2513,433,403,144,266,499,471,396,216,430,1244,299,91,1303,285,170
gene:proph:161195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:146150,306,0,0,0,0,0,0,0,0,0,0,1622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2049,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:156873,0,0,0,0,0,0,344,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:151227,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
gene:vir:103657,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:17011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
gene:plasmid:81273,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
gene:plasmid:91759,95,554,423,271,1266,80,662,2286,0,194,412,691,713,88,508,496,424,98,171,936,313,387,272,452,291,178,2480,427,368,128,275,467,423,427,205,455,1267,272,87,1086,304,167
gene:vir:108368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:149993,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
gene:proph:163478,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,10,4,0,0,0,0,0,0,32,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
gene:vir:6668,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:90997,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:19877,1213,6538,835,78,61,18672,75,56,0,2222,4253,3119,11452,5694,260,16,3547,5191,5168,51,5468,36,1014,423,4743,8854,145,558,126,5454,4916,462,17,3927,28,59,14874,105,2519,91,478,79
gene:plasmid:153787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:24510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0
gene:plasmid:28503,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:19301,0,0,0,0,0,0,0,0,0,0,0,0,23,0,37,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:123236,14,0,40,0,0,0,33,0,0,0,0,0,0,0,95,226,0,0,0,0,0,304,0,30,0,0,0,0,0,0,29,74,0,0,180,96,0,0,0,213,0,91
gene:vir:4732,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:152100,30,32,23,0,0,32,0,0,0,25,19,32,26,31,14,0,17,27,17,0,37,0,23,25,25,24,0,14,0,30,10,23,0,27,0,0,20,10,32,0,23,6
gene:proph:181647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,16,0,0
gene:plasmid:14557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0
gene:plasmid:132187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0
gene:plasmid:139598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707,0,0
gene:plasmid:131951,20,14,24,49,12,21,41,23,0,18,0,11,13,0,27,26,7,0,13,40,0,111,0,8,0,10,35,11,0,0,11,18,21,9,12,17,10,14,16,0,10,29
gene:plasmid:84441,0,199,310,0,0,0,0,0,0,148,0,313,246,0,293,0,0,0,0,0,0,0,73,164,0,0,0,0,0,0,0,200,0,125,0,0,0,115,0,0,0,0
gene:plasmid:124959,0,0,0,0,150,0,269,162,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:proph:176089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
gene:vir:105727,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:19599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
gene:plasmid:84541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:vir:2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:proph:163574,0,21,0,0,0,0,0,0,0,13,979,105,97,13,0,0,29,0,0,0,300,0,0,0,0,214,0,0,0,30,0,14,0,39,0,0,2639,0,0,0,0,0
gene:vir:103635,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:vir:6825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:119017,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:123305,0,0,0,0,0,0,100,0,0,0,0,0,0,0,150,350,0,0,0,0,0,16655,0,0,0,0,0,0,0,0,0,93,118,0,177,208,0,94,0,161,0,0
gene:plasmid:19446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
gene:plasmid:147581,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0
gene:vir:5702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:14724,16,0,0,0,0,0,15,0,0,0,0,8,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
gene:vir:107123,187,46,0,0,0,1481,0,0,0,29,64,0,232,0,0,0,0,0,0,0,88,0,0,0,22,0,0,0,0,0,0,0,0,77,0,0,46,0,577,0,0,0
gene:plasmid:124926,0,113,0,0,0,1752,0,44,0,155,857,0,333,1674,0,0,609,125,88,0,280,0,0,0,0,95,0,51,0,2904,97,0,0,0,0,0,2119,0,272,0,79,0
rep1_4_repE(orf17)_NC011140,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,0,0
