Genes,R1_8,R2_2,R2_3,R2_17,R2_11,R2_4,R2_13,R2_16,R1_19,R1_10,R1_13,R2_1,R1_22,R1_4,R1_20,R2_9,R1_14,R2_6,R1_1,R2_14,R1_3,R2_8,R1_6,R1_17,R1_7,R1_5,R2_15,R2_5,R2_18,R1_24,R1_21,R1_16,R2_10,R1_2,R1_11,R2_7,R1_23,R1_12,R1_18,R2_12,R1_9,R1_15
gene:plasmid:84463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0
gene:proph:184702,66,215,136,313,113,79,675,102,0,147,51,136,274,55,416,249,220,69,222,528,0,321,52,106,75,149,55,158,80,67,235,218,289,177,432,175,43,371,269,160,83,199
gene:plasmid:150007,0,0,24,0,0,0,0,26,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,34,41,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
gene:vir:101411,0,0,0,0,10,0,0,0,0,0,0,0,4,0,0,10,0,0,0,0,0,937,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,23,0,0
gene:plasmid:117762,88,549,453,250,1231,86,701,2339,0,212,419,766,709,87,486,475,440,88,171,1025,311,399,247,510,270,185,2364,409,410,142,297,504,465,381,212,393,1199,247,100,1225,260,176
gene:plasmid:88291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:16014,71,490,408,223,1127,101,654,2057,0,0,354,647,607,78,488,496,323,64,160,919,248,385,274,481,260,129,2329,370,350,128,249,451,343,382,219,386,1032,166,69,1059,252,151
gene:proph:173810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,63,0,0,0,0,0,4567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0
gene:plasmid:88350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
gene:proph:181563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
gene:vir:107145,117,0,0,0,0,520,0,0,0,0,0,0,126,3133,0,0,879,0,0,0,0,0,26,0,53,0,0,0,0,4904,0,0,0,0,0,0,0,0,177,0,0,0
gene:vir:7316,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:vir:95761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0
gene:plasmid:20420,346,146,180,130,0,125,31,0,0,331,0,730,121,152,634,427,266,0,262,0,128,78,238,250,104,489,157,349,431,157,140,198,0,427,172,0,211,189,0,136,351,94
gene:plasmid:149979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:17041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:92028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0
gene:proph:179753,15,0,0,42,30,0,59,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,9,20,0,0,0,0,0,0,0,22,0,0,0,0,9,0,43,0,0
gene:plasmid:141715,11,0,19,0,0,0,21,0,0,8,0,15,19,0,13,0,21,0,36,21,12,19,24,0,17,15,0,0,0,21,0,17,22,21,0,0,13,0,0,36,0,0
gene:vir:108953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:17136,0,0,11,0,0,0,7,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0
ICEberg|430|ICESauTW20-2|GenBank|FN433596|486800..518088,0,0,39612,57796,225732,0,151322,133291,0,0,0,0,0,0,0,33530,0,0,0,48143,0,0,0,0,0,0,84921,23412,0,0,0,0,0,0,0,0,0,0,0,80335,0,0
gene:plasmid:27159,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:83468,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:91797,0,0,0,0,215,0,0,509,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,620,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0
gene:plasmid:28693,59,534,0,0,120,1063,31,39,0,65,144,170,1030,459,0,23,205,65,31,32,204,20,0,0,98,107,28,26,27,818,0,0,0,88,0,0,641,0,168,39,0,0
gene:plasmid:18160,67,0,0,0,33,0,0,18,0,22,0,61,27,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,45,31,0,0,60,0,0,0,0,0,0,37,0
gene:plasmid:87391,219,159,48,0,0,3745,0,0,0,173,5232,195,755,1325,0,0,572,139,0,0,1232,0,55,0,239,258,0,0,0,0,0,0,0,134,0,0,12225,0,752,0,0,0
gene:plasmid:19641,0,0,9,0,0,0,0,0,0,0,8,0,8,0,58,98,25,0,0,0,0,1100,0,0,12,18,21,13,0,0,11,45,9,0,36,15,0,31,0,220,0,27
gene:vir:105411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
gene:vir:95031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
gene:proph:181300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:28616,0,0,0,0,0,0,0,0,0,0,79,0,179,69,0,0,0,0,0,0,0,0,0,0,120,59,0,0,0,51,0,0,0,91,0,0,226,0,0,0,0,0
gene:vir:1898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0
gene:plasmid:84468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
gene:plasmid:135974,0,0,0,58,0,0,32,57,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
gene:plasmid:149983,0,0,25,0,42,0,0,0,0,0,0,0,10,0,51,0,23,0,0,0,0,985,0,0,0,0,0,0,0,0,60,0,0,0,90,0,0,0,0,175,0,76
gene:vir:7179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:vir:6572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:proph:181243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0
gene:plasmid:19874,1446,10835,3302,1401,472,1557,2542,1159,0,6253,17407,51521,92459,47061,473,64,32194,4408,9162,687,19503,180,8318,1232,13852,64315,1288,2537,6059,65145,15912,2422,587,27456,234,119,96445,912,317,1114,1661,728
ICEberg|197|ICE(Tn4371)6038|GenBank|AAUJ02000001|3228493..3280947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4913,0,0,0,0,0,12938,0,0,0,0
gene:vir:2205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:88324,0,0,0,0,0,0,0,0,0,0,0,74,0,22,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,31,120,7
gene:plasmid:156388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0
gene:plasmid:123309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:14817,7,0,13,0,22,0,0,20,0,0,0,0,32,0,0,0,14,0,0,37,0,0,0,0,0,0,0,11,0,0,0,24,0,0,0,19,0,18,0,0,0,0
gene:proph:181242,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:proph:173956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:vir:2216,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:135603,0,0,0,39,71,0,0,264,0,0,0,62,0,0,47,55,0,0,0,0,0,0,0,0,13,0,555,0,18,0,0,0,63,0,44,28,0,0,0,168,0,0
gene:plasmid:24765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
gene:plasmid:24708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0
ICEberg|369|ICESpn2531|GenBank|EU676258|1..1026,3187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,0,0,0,0,0,289,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,254,0
gene:plasmid:17784,3849,0,0,0,0,0,0,0,0,2351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1364,0,0,0,1747,0,0,0,0,0,0,0,0
gene:plasmid:138428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
gene:vir:101383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
gene:plasmid:117725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0
gene:vir:80655,323,0,0,0,0,397,0,0,0,74,109,420,0,79,0,0,0,0,0,0,1053,0,0,31,0,0,0,5356,0,228,0,0,0,46,0,0,938,0,226,0,4338,0
gene:plasmid:112768,0,0,53,0,0,0,18,0,0,0,0,1423,1088,1069,0,0,698,0,0,0,0,0,0,0,342,3638,0,0,0,1514,17,0,0,277,0,0,49,0,0,0,0,0
gene:vir:4767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0
gene:vir:108909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:154860,232,0,194,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:proph:175027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,23452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:150551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,132,0,0,0,0,0,0,152,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:vir:107110,0,78,0,0,0,0,0,0,0,0,0,124,311,6201,0,0,2256,0,377,0,0,0,0,0,60,211,0,0,0,10809,924,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:15254,0,0,51,0,0,0,0,0,0,0,0,1220,0,0,54,0,0,0,0,0,0,0,0,0,25,0,0,17,0,0,0,0,0,0,0,0,40,0,31,0,37,0
gene:plasmid:110244,0,13,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,11,0,0,0,0,0,0,0,29,0,4,0,0,0,0,0,0,0,0,0,0,0,59,0,4
gene:vir:6862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
gene:plasmid:143057,70,26,31,0,0,20,0,0,0,0,0,0,0,0,33,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,68,38,0,0,38
gene:plasmid:153859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
gene:vir:103580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Col8282_1__DQ995352,24,0,89,0,86,0,78,0,0,0,0,129,0,0,133,505,102,0,0,0,0,0,0,79,0,0,0,0,0,14,0,177,0,0,310,0,14,0,0,611,0,158
gene:plasmid:123335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
gene:vir:7111,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:85801,168,0,228,0,0,101,0,0,0,0,0,197,96,0,180,0,0,0,0,0,0,0,0,0,0,55,0,83,0,0,115,0,0,0,0,0,141,0,0,0,77,88
gene:plasmid:19635,0,0,50,0,0,0,0,0,0,0,0,46,0,0,46,70,0,0,45,161,0,0,0,47,0,0,0,0,0,0,0,74,124,0,0,0,20,0,0,0,31,0
gene:vir:101358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,34,0,0
gene:vir:7112,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:proph:170212,0,0,121,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:129841,0,0,0,0,14,0,22,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:151634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0111_1__AP010962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,496,86,0,56,0,0,15575,0,53,0,0,42,0,0,42,139,187,0,0,120,67,0,88,57,1320,0,147
gene:plasmid:152255,18,24,4,0,0,0,0,0,0,38,0,20,0,0,0,0,0,18,0,0,0,0,30,0,50,37,0,0,0,15,0,0,0,17,0,0,4,0,0,0,0,0
gene:plasmid:19298,0,0,0,0,0,0,0,0,0,0,0,0,3,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,70,0,0,0,0,0,0
gene:plasmid:20826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:127547,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:proph:184815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:proph:172137,4149,1113,1023,0,0,896,0,0,0,2437,0,2286,744,376,1499,0,670,0,3307,0,2142,0,771,792,767,0,0,2530,3326,857,1477,781,0,2189,833,0,1006,1184,0,0,2381,605
gene:plasmid:109301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,0,0,0,0,0,983,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,931,0,0
gene:proph:177632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
gene:plasmid:17440,0,0,0,0,17,0,34,33,0,0,0,0,0,0,0,0,4,0,0,17,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
gene:vir:4973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:132137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0
gene:vir:3431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,10
gene:plasmid:114159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:vir:105304,6,9,0,0,0,0,0,0,0,6,0,8,0,2087,0,0,644,0,149,0,0,7,0,0,0,22,0,36,0,3387,213,0,0,0,0,0,0,0,0,0,47,0
gene:plasmid:28932,175,707,168,0,47,7225,84,103,0,529,4507,477,6958,1532,74,0,1006,578,1282,85,2222,0,138,68,829,1786,161,93,0,2150,1557,62,0,1048,0,0,18047,60,767,0,57,0
gene:plasmid:154427,18,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:154875,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:145682,0,0,17,42,687,0,0,261,0,0,0,10,0,0,0,12,0,0,0,31,0,44,0,0,0,0,505,14,13,0,0,0,0,0,0,0,0,0,0,369,0,0
gene:vir:108137,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
gene:plasmid:117831,103,593,452,299,1284,92,616,2415,0,158,381,710,740,68,496,514,369,69,172,1081,301,423,248,474,263,149,2501,414,385,122,285,512,442,409,236,472,1211,272,86,1227,258,160
gene:plasmid:15951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0
gene:plasmid:15545,0,152,23,0,41,6,34,50,0,0,135,91,125,84,0,0,73,36,16,37,108,16,53,0,45,109,0,0,0,87,23,24,0,57,0,10,457,0,0,45,14,0
gene:plasmid:15976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954,0,0
gene:vir:79550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
gene:vir:1598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
gene:plasmid:19517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0
gene:plasmid:151004,97,511,377,275,1158,96,663,2070,0,184,449,680,622,0,467,468,391,86,165,870,331,337,239,360,264,133,2251,393,403,126,280,425,402,324,231,404,1121,237,99,1079,262,147
gene:proph:176830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:14928,81,484,585,457,450,34,427,155,0,0,190,304,251,101,909,4649,548,0,727,340,0,9974,121,512,150,328,184,175,866,0,1487,820,992,187,615,522,75,517,260,6494,209,869
gene:plasmid:19957,0,7,2,1,1,0,0,1,0,21,77,0,39,0,0,0,6,7,7,0,58,0,0,0,4,0,1,2,8,9,0,3,0,4,0,0,444,1,0,0,0,0
gene:vir:108346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
gene:proph:167184,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:proph:170207,271,0,326,0,0,359,0,0,0,0,0,359,0,0,291,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,192,0,0,0,0,0,189,0,0,0,141,0
gene:proph:169116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICEberg|368|ICESpnJ93292|GenBank|EU676259|1..1026,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:30647,0,57,0,0,0,0,0,0,0,0,0,39,0,0,0,347,0,0,0,0,0,2252,0,32,0,0,0,0,0,0,0,51,0,0,79,37,0,0,0,396,0,71
gene:vir:6732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:vir:103652,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:vir:7124,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:proph:175638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
gene:vir:96970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:vir:6824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
gene:plasmid:17470,124,0,142,0,196,0,507,327,0,0,0,0,112,0,254,0,0,0,1509,387,0,0,211,0,501,0,289,196,0,0,131,0,0,323,0,176,0,0,0,251,374,0
gene:plasmid:126351,0,0,0,0,0,0,184,53,0,0,666,0,177,102,0,0,78,0,0,0,295,0,0,0,34,0,0,0,0,139,0,0,0,38,0,0,2182,0,0,0,0,0
gene:proph:163180,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:134730,154,324,199,1932,408,681,1117,469,0,117,134,296,479,646,326,444,430,0,263,0,106,0,52,338,188,156,198,187,792,1152,331,343,257,205,0,201,549,236,323,225,143,190
gene:vir:2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:proph:179401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,3418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0
gene:plasmid:112077,1516,0,0,0,1447,0,1761,0,0,0,0,0,0,0,1018,0,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727,0,0,0,0,0,0,708,0
gene:proph:179388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,12
gene:plasmid:141639,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:19295,0,0,0,0,0,54,0,0,0,0,0,79,0,0,65,0,72,0,49,0,0,0,0,54,0,0,0,36,0,0,0,66,0,0,0,0,0,0,0,0,0,0
gene:plasmid:139665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
gene:vir:5727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:vir:3948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:vir:108579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0
gene:vir:6663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:141427,0,0,0,113,0,0,0,0,0,0,0,0,0,0,158,83,0,0,0,0,0,761,0,0,0,0,0,0,0,0,438,0,0,0,134,0,0,0,0,0,0,78
gene:plasmid:156395,380,1276,2535,5431,4797,306,2061,7294,0,352,385,1861,799,485,2294,3324,2049,323,667,4629,0,899,998,3885,1610,597,3441,1947,3301,403,572,2111,1077,469,1112,424,289,993,489,11248,977,1586
gene:proph:159046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
